channel_id	title	tags	country	default_language	videoCount	viewCount	subscriberCount	thumbnail
UCqepSCHTyWj4BzHxEEUNvlg	Jens Larsen	['Music', 'Jazz']	NL	NA	844	19423346	246000	https://yt3.ggpht.com/a/AATXAJz99O3V7Miy7B5Tul7RNR2BrGPUKcodWhNJ0MK4gQ=s800-c-k-c0x00ffffff-no-rj
UCtCM_6Hb76yWu2oKS59l-mw	tonybennettVEVO	['Jazz', 'Pop music', 'Music']	NA	en	231	132580132	159000	https://yt3.ggpht.com/a/AATXAJy5IJQvk_IHuuLIxEWCWHPvlJd4cWjEL2FB4dSFvg=s800-c-k-c0x00ffffff-no-rj-mo
UCHkj014U2CQ2Nv0UZeYpE_A	JustinBieberVEVO	['Pop music', 'Music']	US	en	159	21416766492	32400000	https://yt3.ggpht.com/ytc/AAUvwnjpa2md8Bfk-LdYllfDdWWdF6CpKebvAlI5NifS6Q=s800-c-k-c0x00ffffff-no-rj-mo
UCANLZYMidaCbLQFWXBC95Jg	TaylorSwiftVEVO	['Independent music', 'Music', 'Pop music']	US	en	147	19716762191	26400000	https://yt3.ggpht.com/a/AATXAJymPwE0-PXbFjcJDrZ9unwi5qXZq3dWLB53ha7nwZw=s800-c-k-c0x00ffffff-no-rj-mo
UCbW18JZRgko_mOGm5er8Yzg	OneDirectionVEVO	['Pop music', 'Music']	NA	en	266	9996101855	22300000	https://yt3.ggpht.com/a/AATXAJwssDee1fz9wsaA7iUIFahIM8vDtEe3uYsxdiP1LU4=s800-c-k-c0x00ffffff-no-rj-mo
UCmv1CLT6ZcFdTJMHxaR9XeA	PTXofficial	['Music', 'Christian music', 'Pop music']	NA	NA	230	4687249416	18400000	https://yt3.ggpht.com/a/AATXAJyBJwjT9UusyOJzcUs-bsOccuN1sK8n8R1Ebh0k=s800-c-k-c0x00ffffff-no-rj-mo
UCpdK1NLHxEUGXc1gq2NxkTw	The Voice	['Television program', 'Entertainment', 'Music', 'Pop music']	US	NA	1222	974761280	8270000	https://yt3.ggpht.com/a/AATXAJwi145MQRcqB9NLeovr4ejM-gWrq3QqYfcKo85rnws=s800-c-k-c0x00ffffff-no-rj
UCyC_4jvPzLiSkJkLIkA7B8g	Lindsey Stirling	['Music', 'Pop music', 'Electronic music']	US	NA	148	3032313044	12700000	https://yt3.ggpht.com/a/AATXAJwGVDsQjb7AQv6XBcOq3q3Ta6HNe5fbFNKoSbqx=s800-c-k-c0x00ffffff-no-rj-mo
UCEY1ejsweY4DgMwOVJeEaBA	The X Factor UK	['Pop music', 'Television program', 'Performing arts', 'Music', 'Entertainment']	GB	NA	4723	6410807747	8630000	https://yt3.ggpht.com/a/AATXAJyaMaWnuv-PL_iUAD891EVmR6XhQUmFwvjGfvZaWg=s800-c-k-c0x00ffffff-no-rj
UC0VOyT2OCBKdQhF3BAbZ-1g	ArianaGrandeVevo	['Music', 'Pop music']	NA	en	127	15082002513	18200000	https://yt3.ggpht.com/a/AATXAJzjvb_P4glrCLRKwPesFyG9F8pjpofFMmBgEVMR4A=s800-c-k-c0x00ffffff-no-rj-mo
